Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:54 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:54 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:54 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:54 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:54 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:54 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:54 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:54 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:54 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:54 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:54 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:54 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:54 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:54 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:54 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:54 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:54 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:54 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:54 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:54 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:54 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:54 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:54 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:54 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:54 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:55 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:55 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:55 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:55 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:55 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:55 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:55 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:55 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:55 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:55 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:55 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:55 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:55 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:55 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:55 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:55 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:55 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:55 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:55 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:55 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:55 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:55 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:55 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:55 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:55 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:55 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:55 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:55 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:55 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:55 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:55 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:55 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:56 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:56 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:56 PM
Peak Frequency: 0.00 Hz, Note: E, Octave: -178956970, at 9/30/2024 12:10:56 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:56 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:56 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:56 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:56 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:56 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:56 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:56 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:56 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:56 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:56 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:56 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:56 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:56 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:56 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:56 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:56 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:56 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:56 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:56 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:56 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:56 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:56 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:56 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:56 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:56 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:56 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:56 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:56 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:57 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:57 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:57 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:57 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:57 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:57 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:57 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:57 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:57 PM
Peak Frequency: 5.86 Hz, Note: F#, Octave: -1, at 9/30/2024 12:10:57 PM
