Timestamp: 0.00 sec, Peak Frequency: 349.23 Hz
Timestamp: 1.00 sec, Peak Frequency: 523.51 Hz
Timestamp: 2.00 sec, Peak Frequency: 659.43 Hz
Timestamp: 3.00 sec, Peak Frequency: 787.28 Hz
Timestamp: 4.00 sec, Peak Frequency: 349.23 Hz
Timestamp: 5.00 sec, Peak Frequency: 523.51 Hz
Timestamp: 6.00 sec, Peak Frequency: 883.51 Hz
Timestamp: 7.00 sec, Peak Frequency: 659.43 Hz
Timestamp: 8.00 sec, Peak Frequency: 554.46 Hz
Timestamp: 9.00 sec, Peak Frequency: 659.43 Hz
Timestamp: 10.00 sec, Peak Frequency: 587.43 Hz
Timestamp: 11.00 sec, Peak Frequency: 389.60 Hz
Timestamp: 13.00 sec, Peak Frequency: 659.43 Hz
Timestamp: 14.00 sec, Peak Frequency: 587.43 Hz
Timestamp: 18.00 sec, Peak Frequency: 391.62 Hz
Timestamp: 19.00 sec, Peak Frequency: 587.43 Hz
Timestamp: 20.00 sec, Peak Frequency: 587.43 Hz
Timestamp: 21.00 sec, Peak Frequency: 699.13 Hz
Timestamp: 22.00 sec, Peak Frequency: 659.43 Hz
Timestamp: 23.00 sec, Peak Frequency: 587.43 Hz
Timestamp: 24.00 sec, Peak Frequency: 787.28 Hz
Timestamp: 25.00 sec, Peak Frequency: 587.43 Hz
Timestamp: 27.00 sec, Peak Frequency: 659.43 Hz
Timestamp: 28.00 sec, Peak Frequency: 587.43 Hz
Timestamp: 29.00 sec, Peak Frequency: 391.62 Hz
Timestamp: 31.00 sec, Peak Frequency: 659.43 Hz
Timestamp: 32.00 sec, Peak Frequency: 329.72 Hz
Timestamp: 33.00 sec, Peak Frequency: 329.72 Hz
Timestamp: 34.00 sec, Peak Frequency: 329.72 Hz
Timestamp: 35.00 sec, Peak Frequency: 329.72 Hz
Timestamp: 36.00 sec, Peak Frequency: 349.23 Hz
Timestamp: 37.00 sec, Peak Frequency: 523.51 Hz
Timestamp: 38.00 sec, Peak Frequency: 659.43 Hz
Timestamp: 39.00 sec, Peak Frequency: 699.13 Hz
Timestamp: 40.00 sec, Peak Frequency: 349.23 Hz
Timestamp: 41.00 sec, Peak Frequency: 523.51 Hz
Timestamp: 42.00 sec, Peak Frequency: 883.51 Hz
Timestamp: 43.00 sec, Peak Frequency: 659.43 Hz
Timestamp: 44.00 sec, Peak Frequency: 554.46 Hz
Timestamp: 45.00 sec, Peak Frequency: 659.43 Hz
Timestamp: 46.00 sec, Peak Frequency: 587.43 Hz
Timestamp: 47.00 sec, Peak Frequency: 389.60 Hz
Timestamp: 49.00 sec, Peak Frequency: 659.43 Hz
Timestamp: 50.00 sec, Peak Frequency: 587.43 Hz
Timestamp: 54.00 sec, Peak Frequency: 391.62 Hz
Timestamp: 55.00 sec, Peak Frequency: 587.43 Hz
Timestamp: 56.00 sec, Peak Frequency: 587.43 Hz
Timestamp: 57.00 sec, Peak Frequency: 699.13 Hz
Timestamp: 58.00 sec, Peak Frequency: 659.43 Hz
Timestamp: 59.00 sec, Peak Frequency: 587.43 Hz
Timestamp: 60.00 sec, Peak Frequency: 787.28 Hz
Timestamp: 61.00 sec, Peak Frequency: 587.43 Hz
Timestamp: 63.00 sec, Peak Frequency: 659.43 Hz
Timestamp: 64.00 sec, Peak Frequency: 587.43 Hz
Timestamp: 65.00 sec, Peak Frequency: 391.62 Hz
Timestamp: 67.00 sec, Peak Frequency: 659.43 Hz
Timestamp: 68.00 sec, Peak Frequency: 329.72 Hz
Timestamp: 69.00 sec, Peak Frequency: 329.72 Hz
Timestamp: 70.00 sec, Peak Frequency: 329.72 Hz
Timestamp: 71.00 sec, Peak Frequency: 329.72 Hz
Timestamp: 72.00 sec, Peak Frequency: 220.04 Hz
Timestamp: 77.00 sec, Peak Frequency: 261.08 Hz
Timestamp: 78.00 sec, Peak Frequency: 261.76 Hz
Timestamp: 79.00 sec, Peak Frequency: 261.76 Hz
Timestamp: 82.00 sec, Peak Frequency: 277.90 Hz
Timestamp: 83.00 sec, Peak Frequency: 277.90 Hz
Timestamp: 84.00 sec, Peak Frequency: 294.73 Hz
Timestamp: 85.00 sec, Peak Frequency: 294.73 Hz
Timestamp: 87.00 sec, Peak Frequency: 331.06 Hz
Timestamp: 88.00 sec, Peak Frequency: 331.06 Hz
Timestamp: 89.00 sec, Peak Frequency: 349.23 Hz
Timestamp: 90.00 sec, Peak Frequency: 349.90 Hz
Timestamp: 91.00 sec, Peak Frequency: 370.76 Hz
Timestamp: 92.00 sec, Peak Frequency: 392.30 Hz
Timestamp: 93.00 sec, Peak Frequency: 294.73 Hz
Timestamp: 96.00 sec, Peak Frequency: 349.90 Hz
Timestamp: 98.00 sec, Peak Frequency: 261.76 Hz
Timestamp: 99.00 sec, Peak Frequency: 261.76 Hz
Timestamp: 103.00 sec, Peak Frequency: 232.82 Hz
Timestamp: 106.00 sec, Peak Frequency: 261.08 Hz
Timestamp: 107.00 sec, Peak Frequency: 206.58 Hz
Timestamp: 112.00 sec, Peak Frequency: 260.41 Hz
Timestamp: 114.00 sec, Peak Frequency: 261.08 Hz
Timestamp: 119.00 sec, Peak Frequency: 277.90 Hz
Timestamp: 120.00 sec, Peak Frequency: 294.05 Hz
Timestamp: 121.00 sec, Peak Frequency: 294.73 Hz
Timestamp: 125.00 sec, Peak Frequency: 350.58 Hz
Timestamp: 126.00 sec, Peak Frequency: 350.58 Hz
Timestamp: 129.00 sec, Peak Frequency: 394.31 Hz
Timestamp: 130.00 sec, Peak Frequency: 466.31 Hz
Timestamp: 131.00 sec, Peak Frequency: 234.17 Hz
